date,equity,cash,n_positions
2024-02-19,1069850,0,3
2024-02-20,1088355,0,3
2024-02-21,1090253,0,3
2024-02-22,1134670,0,3
2024-02-23,1127942,0,3
2024-02-26,1135952,0,3
2024-02-27,1129017,0,3
2024-02-29,1119100,0,3
2024-03-01,1104215,0,3
2024-03-04,1112336,0,3
2024-03-05,1116505,0,3
2024-03-06,1120141,0,3
2024-03-07,1129397,0,3
2024-03-08,1133101,0,3
2024-03-11,1108324,0,3
2024-03-12,1112369,0,3
2024-03-13,1113317,0,3
2024-03-14,1082164,0,3
2024-03-15,1073551,0,3
2024-03-18,1101583,0,3
2024-03-19,1087729,0,3
2024-03-20,1074530,0,3
2024-03-21,1093317,0,3
2024-03-22,1092346,0,3
2024-03-25,1086140,0,3
2024-03-26,1075673,0,3
2024-03-27,1088234,0,3
2024-03-28,1079179,0,3
2024-03-29,1096604,0,3
2024-04-01,1059877,0,3
2024-04-02,1078820,0,3
2024-04-03,1075067,0,3
2024-04-08,1082806,0,3
2024-04-09,1092564,0,3
2024-04-10,1098009,0,3
2024-04-11,1103697,0,3
2024-04-12,1099535,0,3
2024-04-15,1061070,0,3
2024-04-16,1012908,0,3
2024-04-17,1013009,0,3
2024-04-18,1011962,0,3
2024-04-19,958929,0,3
2024-04-22,921473,0,3
2024-04-23,947200,0,3
2024-04-24,979341,0,3
2024-04-25,963929,0,3
2024-04-26,1009244,0,3
2024-04-29,1016354,0,3
2024-04-30,1006654,0,3
2024-05-02,1004774,0,3
2024-05-03,1003690,0,3
2024-05-06,975415,0,3
2024-05-07,966424,0,3
2024-05-08,972766,0,3
2024-05-09,944067,0,3
2024-05-10,936828,0,3
2024-05-13,943299,0,3
2024-05-14,952575,0,3
2024-05-15,956074,0,3
2024-05-16,974760,0,3
2024-05-17,975098,0,3
2024-05-20,982083,0,3
2024-05-21,980928,0,3
2024-05-22,995121,0,3
2024-05-23,1021093,0,3
2024-05-24,1016980,0,3
2024-05-27,1057582,0,3
2024-05-28,1064620,0,3
2024-05-29,1055920,0,3
2024-05-30,1045134,0,3
2024-05-31,1014280,0,3
2024-06-03,1033576,0,3
2024-06-04,1019560,0,3
2024-06-05,1016267,0,3
2024-06-06,1051721,0,3
2024-06-07,1053699,0,3
2024-06-11,1017595,0,3
2024-06-12,1043838,0,3
2024-06-13,1061527,0,3
2024-06-14,1063911,0,3
2024-06-17,1074672,0,3
2024-06-18,1102965,0,3
2024-06-19,1133014,0,3
2024-06-20,1127908,0,3
2024-06-21,1140590,0,3
2024-06-24,1085060,0,3
2024-06-25,1081862,0,3
2024-06-26,1089900,0,3
2024-06-27,1078933,0,3
2024-06-28,1091557,0,3
2024-07-01,1100765,0,3
2024-07-02,1085087,0,3
2024-07-03,1086596,0,3
2024-07-04,1108572,0,3
2024-07-05,1128931,0,3
2024-07-08,1152591,0,3
2024-07-09,1156392,0,3
2024-07-10,1153957,0,3
2024-07-11,1170521,0,3
2024-07-12,1124078,0,3
2024-07-15,1130922,0,3
2024-07-16,1135262,0,3
2024-07-17,1115414,0,3
2024-07-18,1075125,0,3
2024-07-19,1050807,0,3
2024-07-22,1038971,0,3
2024-07-23,1069911,0,3
2024-07-26,1004952,0,3
2024-07-29,991459,0,3
2024-07-30,1025851,0,3
2024-07-31,1021814,0,3
2024-08-01,1052290,0,3
2024-08-02,970323,0,3
2024-08-05,875333,0,3
2024-08-06,893751,0,3
2024-08-07,948847,0,3
2024-08-08,931946,0,3
2024-08-09,963229,0,3
2024-08-12,973019,0,3
2024-08-13,999707,0,3
2024-08-14,1011256,0,3
2024-08-15,1001786,0,3
2024-08-16,1035403,0,3
2024-08-19,1038719,0,3
2024-08-20,1039914,0,3
2024-08-21,1024059,0,3
2024-08-22,1022838,0,3
2024-08-23,1030886,0,3
2024-08-26,1017485,0,3
2024-08-27,1039360,0,3
2024-08-28,1043683,0,3
2024-08-29,1034095,0,3
2024-08-30,1034381,0,3
2024-09-02,1024440,0,3
2024-09-03,1009247,0,3
2024-09-04,944007,0,3
2024-09-05,939305,0,3
2024-09-06,955341,0,3
2024-09-09,942543,0,3
2024-09-10,964272,0,3
2024-09-11,950680,0,3
2024-09-12,1002125,0,3
2024-09-13,1019220,0,3
2024-09-16,1019608,0,3
2024-09-18,984052,0,3
2024-09-19,1012284,0,3
2024-09-20,1012524,0,3
2024-09-23,1011795,0,3
2024-09-24,1036209,0,3
2024-09-25,1035029,0,3
2024-09-26,1044853,0,3
2024-09-27,1035499,0,3
2024-09-30,992991,0,3
2024-10-01,1012026,0,3
2024-10-04,1001489,0,3
2024-10-07,1051021,0,3
2024-10-08,1059991,0,3
2024-10-09,1052593,0,3
2024-10-11,1057291,0,3
2024-10-14,1067987,0,3
2024-10-15,1077492,0,3
2024-10-16,1071622,0,3
2024-10-17,1072990,0,3
2024-10-18,1098684,0,3
2024-10-21,1106595,0,3
2024-10-22,1107378,0,3
2024-10-23,1095098,0,3
2024-10-24,1080202,0,3
2024-10-25,1096825,0,3
2024-10-28,1089586,0,3
2024-10-29,1071135,0,3
2024-10-30,1060588,0,3
2024-11-01,1068723,0,3
2024-11-04,1072084,0,3
2024-11-05,1084932,0,3
2024-11-06,1103179,0,3
2024-11-07,1124976,0,3
2024-11-08,1116954,0,3
2024-11-11,1113721,0,3
2024-11-12,1076918,0,3
2024-11-13,1072199,0,3
2024-11-14,1067160,0,3
2024-11-15,1061803,0,3
2024-11-18,1043274,0,3
2024-11-19,1062479,0,3
2024-11-20,1049170,0,3
2024-11-21,1046211,0,3
2024-11-22,1065995,0,3
2024-11-25,1044048,0,3
2024-11-26,1027519,0,3
2024-11-27,1002400,0,3
2024-11-28,1002313,0,3
2024-11-29,1011031,0,3
2024-12-02,1046602,0,3
2024-12-03,1043123,0,3
2024-12-04,1073999,0,3
2024-12-05,1112140,0,3
2024-12-06,1100937,0,3
2024-12-09,1158627,0,3
2024-12-10,1134314,0,3
2024-12-11,1130045,0,3
2024-12-12,1127823,0,3
2024-12-13,1143961,0,3
2024-12-16,1157148,0,3
2024-12-17,1203049,0,3
2024-12-18,1207788,0,3
2024-12-19,1202825,0,3
2024-12-20,1168055,0,3
2024-12-23,1192918,0,3
2024-12-24,1182447,0,3
2024-12-25,1187707,0,3
2024-12-26,1177504,0,3
2024-12-27,1196113,0,3
2024-12-30,1183889,0,3
2024-12-31,1191816,0,3
2025-01-02,1150292,0,3
2025-01-03,1102806,0,3
2025-01-06,1153341,0,3
2025-01-07,1177768,0,3
2025-01-08,1149892,0,3
2025-01-09,1146839,0,3
2025-01-10,1123889,0,3
2025-01-13,1049457,0,3
2025-01-14,1050718,0,3
2025-01-15,1061761,0,3
2025-01-16,1116921,0,3
2025-01-17,1088674,0,3
2025-01-20,1105119,0,3
2025-01-21,1110218,0,3
2025-01-22,1125932,0,3
2025-02-03,1078841,0,3
2025-02-04,1077028,0,3
2025-02-05,1099497,0,3
2025-02-06,1100013,0,3
2025-02-07,1111272,0,3
2025-02-10,1076439,0,3
2025-02-11,1089975,0,3
2025-02-12,1086356,0,3
2025-02-13,1100196,0,3
2025-02-14,1080980,0,3
2025-02-17,1093887,0,3
2025-02-18,1085198,0,3
2025-02-19,1060319,0,3
2025-02-20,1053850,0,3
2025-02-21,1079174,0,3
2025-02-24,1056681,0,3
2025-02-25,1036055,0,3
2025-02-26,1042426,0,3
2025-02-27,1024420,0,3
